"Horodateur","Retourner au travail ou à l'école est-il une source de stress ?","Dans quelle catégorie socio-professionnelle vous situez-vous ?","Quel est votre niveau d’étude ?","Quel est votre sexe ?","Dans quelle tranche d'age vous situez vous?","Statut marital","Combien de personne compose votre foyer ?","Où habitez-vous ?","Vous vivez ...","Quel est votre mode de déplacement professionnel? ","Suite au confinement, pensez vous changer votre mode de déplacement?","Appréciez-vous le télétravail ?","Pensez-vous être plus productif en télétravail ?","Pourquoi ?","Veuillez répondre « Un peu » à cette question.","Selon vous combien de temps les mesures de gestes barrières devraient être appliquées ?","Qu'est ce qui, selon vous, pourrait améliorer le télétravail ?","Selon vous, après cet épisode de crise, quelle(s) mesure(s) devraient être prise(s) lors de votre retour sur votre lieu de travail ? "
"2020/06/15 9:59:04 AM UTC+2","5","Autres","Bac (général, pro et technologique)","Féminin","26 - 35 ans","En couple","2","En milieu urbain","En maison avec jardin","En voiture / moto / scooter","1","4","6","Moins de pertubations","Un peu","Au moins 3 mois","",""
"2020/06/15 10:00:08 AM UTC+2","2","Cadre ou profession intellectuelle supérieure","Bac+5 (Master, écoles d'ingé, écoles d'arts...)","Masculin","26 - 35 ans","En couple","2","En milieu périurbain","En appartement","En transport en commun","1","7","7","Plus performant en terme de réalisation objectif /temps fourni. Plus concentré, plus performant. ","Jamais","Jusqu'à l'arrivée d'un vaccin","Une chaise gaming, un cable ethernet plus long.","gestes barrières / pouvoir télé-travailler plus fréquemment"
"2020/06/15 10:09:05 AM UTC+2","1","Cadre ou profession intellectuelle supérieure","Bac+5 (Master, écoles d'ingé, écoles d'arts...)","Masculin","26 - 35 ans","En couple","2","En milieu urbain","En maison","À vélo","1","3","3","","Un peu","Au moins 3 mois","",""
"2020/06/15 10:09:45 AM UTC+2","4","Cadre ou profession intellectuelle supérieure","Bac+5 (Master, écoles d'ingé, écoles d'arts...)","Féminin","18 - 25 ans","Célibataire","1","En milieu urbain","En appartement","En transport en commun","5","4","4","","Un peu","Au moins 6 mois","Du meilleur matériel professionnel ","Plus de liberté pour télétravailler quelques jours par mois "
"2020/06/15 10:11:01 AM UTC+2","2","Cadre ou profession intellectuelle supérieure","Bac+5 (Master, écoles d'ingé, écoles d'arts...)","Féminin","18 - 25 ans","Célibataire","2","En milieu urbain","En appartement","En voiture / moto / scooter","1","5","5","","Un peu","Au moins 3 mois","",""
"2020/06/15 10:11:44 AM UTC+2","1","Employé","Bac+3/4 (Licence, Maîtrise)","Masculin","26 - 35 ans","Célibataire","1","En milieu urbain","En appartement","À pied","1","7","5","Moins de distraction de la part des collègues","Jamais","Jusqu'à l'arrivée d'un vaccin","Un bon fauteuil","Plus de bises, et plus de serrages de paluches, terminé, bonsoir"
"2020/06/15 10:12:07 AM UTC+2","3","Cadre ou profession intellectuelle supérieure","Bac+5 (Master, écoles d'ingé, écoles d'arts...)","Féminin","18 - 25 ans","En couple","2","En milieu rural","En maison avec jardin","En voiture / moto / scooter","1","7","6","En télétravail, il y plus de calme, moins de fatigue due au temps de trajet.","Un peu","Jusqu'à l'arrivée d'un vaccin","",""
"2020/06/15 10:26:08 AM UTC+2","3","Profession intermédiaire","Bac+5 (Master, écoles d'ingé, écoles d'arts...)","Masculin","36 - 50 ans","En couple","2","En milieu périurbain","En maison avec jardin","À vélo","1","7","5","Autonomie, pas de déplacement","Un peu","Au moins 6 mois","",""
"2020/06/15 10:27:50 AM UTC+2","5","Cadre ou profession intellectuelle supérieure","Bac+3/4 (Licence, Maîtrise)","Féminin","36 - 50 ans","En couple","3","En milieu rural","En maison avec jardin","En voiture / moto / scooter","1","6","7","Pas de solicitations en direct","Un peu","Au moins 6 mois","La possibilité d'avoir des lieux pour se retrouver ponctuellement pour faire des réunions, à 2, à 4 ou plus.","Le maintien d'un protocole sanitaire mais moins contraignant "
"2020/06/15 10:30:29 AM UTC+2","2","Employé","Bac+2 (BTS ou autre)","Masculin","36 - 50 ans","En couple","5 ou plus","En milieu rural","En maison avec jardin","En voiture / moto / scooter","2","5","4","","Un peu","Au moins 3 mois","",""
"2020/06/15 10:31:04 AM UTC+2","4","Employé","Bac (général, pro et technologique)","Féminin","18 - 25 ans","En couple","3","En milieu rural","En maison avec jardin","En voiture / moto / scooter","1","5","3","","Un peu","Au moins 3 mois","Les horaires libres ","Gel hydro a disposition "
"2020/06/15 10:31:27 AM UTC+2","6","Cadre ou profession intellectuelle supérieure","Bac+5 (Master, écoles d'ingé, écoles d'arts...)","Masculin","26 - 35 ans","Célibataire","1","En milieu urbain","En appartement","En transport en commun","5","5","3","","Un peu","Jusqu'à l'arrivée d'un vaccin","",""
"2020/06/15 10:31:54 AM UTC+2","7","Employé","Bac+2 (BTS ou autre)","Masculin","36 - 50 ans","En couple","4","En milieu périurbain","En maison avec jardin","En voiture / moto / scooter","6","6","6","","Un peu","Jusqu'à l'arrivée d'un vaccin","",""
"2020/06/15 10:33:00 AM UTC+2","1","Cadre ou profession intellectuelle supérieure","Bac+5 (Master, écoles d'ingé, écoles d'arts...)","Masculin","26 - 35 ans","En couple","2","En milieu urbain","En appartement","En voiture / moto / scooter","1","2","2","Mon travail d'ingénieur est plus orienté terrain (75% du temps), en télétravail je ne peux donc pas assurer mes missions aussi vite que classiquement sur site.","Un peu","Jusqu'à l'arrivée d'un vaccin","Une aide de l'entreprise pour installer un vrai bureau + dédommagement coût élec etc + une réelle application du droit à la déconnexion","Nettoyage plus régulier des bureaux et atelier de production + lieu commun"
"2020/06/15 10:33:24 AM UTC+2","4","Cadre ou profession intellectuelle supérieure","Bac+5 (Master, écoles d'ingé, écoles d'arts...)","Féminin","26 - 35 ans","En couple","2","En milieu urbain","En appartement","Transport en commun et voiture","2","4","1","Manque interactions avec les collègues, cadre non professionnel, manque de documentation papier, pas de séparation espace pro/perso","Un peu","Au moins 6 mois","Limiter à 1 ou 2 jours/semaine","Nettoyage plus régulier des sanitaires et locaux"
